Component,Document,Tag,URL,Agency
FEMA,Flood Disaster Relief- Less than 1700,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2015,https://www.dhs.gov/sites/default/files/publications/flood-disaster-relief-less-than-1700_0.xls,DHS
FEMA,Hazard Mitigation Grant Program Disater Recovery Projects,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2016,https://www.dhs.gov/sites/default/files/publications/hazard-mitigation-grant-program-disaster-recovery-projects_0.xls,DHS
FEMA,Public Provident Fund Data Set 1,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2017,https://www.dhs.gov/sites/default/files/publications/fema-public-provident-fund-data-set_0.zip,DHS
FEMA,Public Provident Fund Data Set 2,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2018,https://www.dhs.gov/sites/default/files/publications/fema-public-provident-fund-data-set-2_0.zip,DHS
FEMA,Disaster Relief 1239 to 1521 for 1998 to 2004,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2019,https://www.dhs.gov/xlibrary/assets/fema-disaster-relief-1239-1521-for-1998-to-2004.zip,DHS
FEMA,Disaster Relief 1522 to 1859 for 2004 to 2009 Set 1,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2020,https://www.dhs.gov/xlibrary/assets/fema-disaster-relief-1522-1859-for-2004-to-2009-set-1.zip,DHS
FEMA,Disaster Relief 1522 to 1859 for 2004 to 2009 Set 2,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2021,https://www.dhs.gov/xlibrary/assets/fema-disaster-relief-1522-1859-for-2004-to-2009-set-2.zip,DHS
FEMA,Disaster Relief 1893 to 1942 for 2010,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2022,https://www.dhs.gov/xlibrary/assets/fema-disaster-relief-1893-to-1942-for-2010.zip,DHS
FEMA,Disaster Relief 1869 to 4040 for 2011 Data Set,FEMA Individual and Public Assistance Claims Paid for Flood Disasters From 1998 to 2023,https://www.dhs.gov/publication/fema-disaster-relief-1869-4040-2011-data-set,DHS
FEMA,Tribute Contracting - 70FB7018C00000001,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/Tribute%20Contracting%20-%2070FB7018C00000001.pdf,DHS
FEMA,New York University Medical Center Public Assistance Project Worksheets Regarding Hurricane Sandy,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/new-york-university-medical-center-public-assistance-project-worksheets-regarding-hurricane-sandy_0.pdf,DHS
FEMA,Individual Assistance applicants from New York and New Jersey relating to Superstorm Sandy,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/fema-individual-assistance-recoupment-data_0.xls,DHS
FEMA,FEMA Underground Storage Tanks - December 2016,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/fema-underground-storage-tanks-december-2016.pdf,DHS
FEMA,FEMA Underground Storage Tanks- May 2017,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/fema-underground-storage-tanks-may-2017.pdf,DHS
FEMA,FEMA Underground Storage Tanks- November 2017,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/fema-underground-storage-tanks-november-2017.pdf.pdf,DHS
FEMA,Carnival Corporation – 70FB7018C00000007,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/Carnival%20Corporation%20-%2070FB7018C00000007.pdf,DHS
FEMA,Paradise Cruise Line Operator – HSFE70-17-C-0205,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/Paradise%20Cruise%20Line%20Operator-%20HSFE70-17-C-0205.pdf,DHS
FEMA,FEMA Region II Hurricane Annex for Puerto Rico and US Virgin Islands,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/FEMA%20Region%20II%20Hurricane%20Annex%20for%20Puerto%20Rico%20and%20US%20Virgin%20Islands-%20Oc....pdf,DHS
FEMA,World Central Kitchen- 70FBR218C00000003,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/World%20Central%20Kitchen-%2070FBR218C00000003.pdf,DHS
FEMA,Vanguard Emergency Management Housing Inspection Services – HSFE80-13-D-0074,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/Vanguard%20Docs.pdf,DHS
FEMA,Alltech – HSFE80 -13-D-00700,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/Alltech%20Docs.pdf,DHS
FEMA,OSC Solutions Contract 70FB7018C00000013,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/OSC%20Solutions%20Contract.pdf,DHS
FEMA,FilCor Contract HSFE70-17-P-0072,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/FilCor%20Contract_0.pdf,DHS
FEMA,Hanna Brothers Contract HSFE70-17-C-0226,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/Hanna%20Brothers%20Contract%20HSFE70-17-C-0226.pdf,DHS
FEMA,FEMA IPAWS Tank list 5-15-17,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/Copy%20of%20FEMA%20IPAWS%20Tank%20list%205.15-17.pdf,DHS
FEMA,Community Assistance Visits (CAV) Risk Rankings,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/Community%20Assistance%20Visits%20%28CAV%29%20Risk%20Rankings.zip,DHS
FEMA,"HSFE70-17-C-0037, Regional Enterprises, LLC.",Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/HSFE70-17-C-0037%2C%20Regional%20Enterprises%20LLC.PDF,DHS
FEMA,Contract Amendments HSFE80-12-D-0214 HSFE02-13-J-0003 P000016,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/Contract%20Amendments%20HSFE80-12-D-0214%20HSFE02-13-J-0003%20P000016.pdf,DHS
FEMA,Industrial Security Products Inc - 70FBR218P00000071,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/Industrial%20Security%20Products%20Inc%20-%2070FBR218P00000071.pdf,DHS
FEMA,Master Group USA LLC - 70FA2018C0000004,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/Master%20Group%20USA%20LLC%20-%2070FA2018C00000004.pdf,DHS
FEMA,Global Computers and Networks LLC 70FB7018C00000015,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/Global%20Computers%20and%20Networks%20LLC%2070FB7018C00000015.pdf,DHS
FEMA,AmeriQual Group LLC - HSFE70-17-C-0220,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/AmeriQual%20Group%20LLC%20-%20HSFE70-17-C-0220.pdf,DHS
FEMA,Bronze Star LLC - 70FB7018C000005 and 70FB7018C0000006,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/Bronze%20Star%20LLC%20-%2070FB7018C00000005%20and%2070FB7018C00000006.pdf,DHS
FEMA,Mr. Safety - HSFE70-14-D-0148,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/Mr.%20Safety%20-%20HSFE70-14-D-0148.pdf,DHS
FEMA,"Sealift Inc of Delaware, HSFE70-17-P-0100",Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/Sealift%20Inc%20of%20Delaware%2C%20HSFE70-17-P-0100.pdf,DHS
FEMA,"Crimson Hexagon Inc., HSFE30-16-P-0220",Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/Crimson%20Hexagon%20Inc.%2C%20HSFE30-16-P-0220.pdf,DHS
FEMA,HSFE2014C0001 Omni Corporation,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/HSFE2014C0001%20Omni%20Corporation.pdf,DHS
FEMA,HSFEHQ12D0882 HSFE8017J0335 NISTAC E,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/HSFEHQ12D0882%20HSFE8017J0335%20NISTAC%20E.pdf,DHS
FEMA,HSFE40-15-C-0334 Galvan and Associates,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/HSFE40-15-C-0334%20Galvan%20and%20Associates.pdf,DHS
FEMA,HSHQDC12D00012 70FA2018F00000069 Blue Tech INC,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/HSHQDC12D00012%2070FA2018F00000069%20Blue%20Tech%20INC.pdf,DHS
FEMA,HSFE8015C0092 W S Darley and Company,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/HSFE8015C0092%20W%20S%20Darley%20and%20Company.pdf,DHS
FEMA,HSFELA-08-C-0117 RCG Enterprises INC,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/HSFELA-08-C-0117%20RCG%20Enterprises%20INC.pdf,DHS
FEMA,UST Directory NOV 2018 for Govt request2,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/UST%20Directory%20NOV%202018%20for%20Govt%20request2.xlsx,DHS
FEMA,"ICF Incorporated, LLC Contract",Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/gs00q140adu119_icf_incorporated_llc_002.pdf,DHS
FEMA,ATT Mobility LLC - 70FA3018D00000002,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/att_mobility_llc_-_70fa3018d00000002.pdf,DHS
FEMA,Hackberry Repair and Maintenance LLC - 70FBR618C00000007,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/hackberry_repair_and_maintenance_llc_-_70fbr618c00000007.pdf,DHS
FEMA,70FA3018DC0000003 Verizon Wireless,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/70fa3018dc0000003_verizon_wireless.pdf,DHS
FEMA,70FBR618C00000006 Tangential Services Inc,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/70fbr618c00000006_tangential_services_inc.pdf,DHS
FEMA,70FBR618C00000008 Pearl 1 Services LLC,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/70fbr618c00000008_pearl_1_services_llc.pdf,DHS
FEMA,70FBR619P0000002 City of Denton,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/70fbr619p0000002_city_of_denton.pdf,DHS
FEMA,HSFE40-14-A-0167 Hassett Willis Associates LLC,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/hsfe40-14-a-0167_hassett_willis_associates_llc.pdf,DHS
FEMA,HSFE50-15-R-0002 CACI-ISS LLC,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/hsfe50-15-r-0002_caci-iss_llc.pdf,DHS
FEMA,Task Order HSFE50-17-F-0044 Booz Allen Hamilton Inc,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/task_order_hsfe50-17-f-0044_booz_allen_hamilton_inc.pdf,DHS
FEMA,Task Order HSFE50-17-F-0045 Booz Allen Hamilton Inc,Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/task_order_hsfe50-17-f-0045_booz_allen_hamilton_inc.pdf,DHS
FEMA,"HSFE20-15-C-0001, HME, Inc.",Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/hsfe20-15-c-0001_hme_inc.pdf,DHS
FEMA,"HSFE20-17-C-0202, Logzone Inc.",Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/publications/hsfe20-17-c-0202_logzone_inc.pdf,DHS
FEMA,1st Production: Item 2-Inspection Guidelines (23pp),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-07/Item%202-Inspection%20Guidelines%20%2823pp%29.pdf,DHS
FEMA,1st Production: Item 3_IHP Line Items (47pp),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-09/Item%203_IHP%20Line%20Items%20%2847pp%29%20%281%29.pdf,DHS
FEMA,2nd Production: Item 8_Helpline Reference Guide (206pp),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-07/Item%202_Helpline%20Reference%20Guide%20%28206pp%29.pdf,DHS
FEMA,3rd Production: Item 1_Standard Operating Procedures (501pp),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-03/IA%20SOP-%20Registration%20Intake-Helpline_2.pdf,DHS
FEMA,4th Production: Item 2_Inspection Guidelines (110pp) (PART 1),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-03/Individuals%20and%20Households%20Program%20Guidelines%20%28PT%201A%29.pdf,DHS
FEMA,4th Production: Item 2_Inspection Guidelines (103pp) (PART 2),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-03/Individuals%20and%20Households%20Program_Remote%20Inspections%20Guidelines%20%28PT%202A%29.pdf,DHS
FEMA,4th Production: Item 2_Inspection Guidelines (206pp) (PART 3),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-03/Individuals%20and%20Households%20Program_Remote%20Inspections%20Guidelines%20%28PT%203%29.pdf,DHS
FEMA,5th Production: Item 1_Standard Operating Procedures (248pp)(Part 1),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-07/Item%201_Standard%20Operating%20Procedures%20%28248pp%29%28Part%201%29.pdf,DHS
FEMA,5th Production: Item 1_Standard Operating Procedures (249pp)(Part 2),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-07/Item%201_Standard%20Operating%20Procedures%20%28249pp%29%28Part%202%29_1.pdf,DHS
FEMA,6th Production: IA SOP- Disaster Specific (496pp),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-07/IA%20SOP-%20Disaster%20Specific%20%28496pp%29.pdf,DHS
FEMA,6th Production: Item 1_IA SOP – Disaster Specific (6pp),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-09/6th%20Production%20Item%201%20IA%20SOP%20%20Disaster%20Specific%20%286pp%29.pdf,DHS
FEMA,7th Production: Item 1_Standard Operating Procedures (438pp),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-07/7th%20Item%201_Standard%20Operating%20Procedures%20%28438pp%29.pdf,DHS
FEMA,8th Production: Item 1_Standard Operating Procedures (475pp),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-07/IA%20SOPs_Responsive%20Records%20%288th%20Interim%20Response%29%20%28475pp%29%28Bates%20Stamped%29.pdf,DHS
FEMA,9th Production: Item 5_FEMA Policy Memoranda (619pp),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-09/Item%205_IA%20Policy%20Memoranda%20%28619pp%29.pdf,DHS
FEMA,9th Production: Item 8_ACE Training Manual (47pp),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-09/Item%208_ACE%20Training%20Manual%20%2847pp%29%20%282%29.pdf,DHS
FEMA,9th Production: Item 8_ACE Training Manual (37pp),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-09/Item%208_ACE%20Training%20Manual%20%2837pp%29%20%282%29.pdf,DHS
FEMA,9th Production: Item 8_ACE Training Manual (114pp),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-09/Item%208_ACE%20Training%20Manual%20%28114pp%29%20%282%29.pdf,DHS
FEMA,9th Production: Item 10_Habitability Document (3pp),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-09/Item%2010_Habitability%20Document%20%283pp%29%20%282%29.pdf,DHS
FEMA,9th Production: Item 12_Pre-Shift Instructions (407pp),Frequently Requested Records and Proactive Releases,https://www.dhs.gov/sites/default/files/2022-09/Item%2012_Pre-Shift%20Instructions%20%28407pp%29%20%282%29.pdf,DHS
FEMA,HSFE2017C0202 Logzone INC 1,"LOGZONE, Inc",https://www.dhs.gov/sites/default/files/publications/HSFE2017C0202%20Logzone%20INC%201.pdf,DHS
FEMA,HSFE2017C0202 Logzone INC 2,"LOGZONE, Inc",https://www.dhs.gov/sites/default/files/publications/HSFE2017C0202%20Logzone%20INC%202.pdf,DHS
FEMA,HSFE2017C0202 Logzone INC 3,"LOGZONE, Inc",https://www.dhs.gov/sites/default/files/publications/HSFE2017C0202%20Logzone%20INC%203.pdf,DHS
FEMA,HSFE2017C0202 Logzone INC 4,"LOGZONE, Inc",https://www.dhs.gov/sites/default/files/publications/HSFE2017C0202%20Logzone%20INC%204.pdf,DHS
FEMA,HSFE2017C0207 Partner Forces LLC 1,Partner Forces LLC,https://www.dhs.gov/sites/default/files/publications/HSFE2017C0207%20Partner%20Forces%20LLC%201.pdf,DHS
FEMA,HSFE2017C0207 Partner Forces LLC 2,Partner Forces LLC,https://www.dhs.gov/sites/default/files/publications/HSFE2017C0207%20Partner%20Forces%20LLC%202.pdf,DHS
FEMA,"Resilience Action Partners, HSFE60-15-C-0007_Part1",Resilience Action Partners Records,https://www.dhs.gov/sites/default/files/publications/Resilience%20Action%20Partners%2C%20HSFE60-15-C-0007_Part1.pdf,DHS
FEMA,"Resilience Action Partners, HSFE60-15-C-0007_Part2",Resilience Action Partners Records,https://www.dhs.gov/sites/default/files/publications/Resilience%20Action%20Partners%2C%20HSFE60-15-C-0007_Part2.pdf,DHS
FEMA,"Resilience Action Partners, HSFE60-15-C-0007_Part3",Resilience Action Partners Records,https://www.dhs.gov/sites/default/files/publications/Resilience%20Action%20Partners%2C%20HSFE60-15-C-0007_Part3.pdf,DHS
FEMA,Whitefish Energy Part 1,Whitefish Energy Records,https://www.dhs.gov/sites/default/files/publications/Whitefish%20Energy_Part1.pdf,DHS
FEMA,Whitefish Energy Part 2,Whitefish Energy Records,https://www.dhs.gov/sites/default/files/publications/Whitefish%20Energy_Part2.pdf,DHS
FEMA,Whitefish Energy Part 3,Whitefish Energy Records,https://www.dhs.gov/sites/default/files/publications/Whitefish%20Energy_Part3.pdf,DHS
FEMA,Whitefish Energy Part 4,Whitefish Energy Records,https://www.dhs.gov/sites/default/files/publications/Whitefish%20Energy_Part4.pdf,DHS
FEMA,Whitefish Energy Part 5,Whitefish Energy Records,https://www.dhs.gov/sites/default/files/publications/Whitefish%20Energy_Part5.pdf,DHS
FEMA,Whitefish Energy Part 6,Whitefish Energy Records,https://www.dhs.gov/sites/default/files/publications/Whitefish%20Energy_Part6.pdf,DHS
FEMA,Whitefish Energy Part 7,Whitefish Energy Records,https://www.dhs.gov/sites/default/files/publications/Whitefish%20Energy_Part7.pdf,DHS
FEMA,Whitefish Energy Part 8,Whitefish Energy Records,https://www.dhs.gov/sites/default/files/publications/Whitefish%20Energy_Part8.pdf,DHS
FEMA,Whitefish Energy Part 9,Whitefish Energy Records,https://www.dhs.gov/sites/default/files/publications/Whitefish%20Energy_Part9.pdf,DHS
FEMA,Whitefish Energy Part 10,Whitefish Energy Records,https://www.dhs.gov/sites/default/files/publications/Whitefish%20Energy_Part10.pdf,DHS
FEMA,Whitefish Energy Part 11,Whitefish Energy Records,https://www.dhs.gov/sites/default/files/publications/Whitefish%20Energy_Part11.pdf,DHS
OGC,Office of General Counsel Release to AP 1 of 20,Office of General Counsel Release to AP,https://www.dhs.gov/sites/default/files/publications/dhs10-100-appeal-response-redacted-and-locked-down-img-part1.pdf,DHS
OGC,Office of General Counsel Release to AP 2 of 20,Office of General Counsel Release to AP,https://www.dhs.gov/sites/default/files/publications/dhs10-100-appeal-response-redacted-and-locked-down-img-part2.pdf,DHS
OGC,Office of General Counsel Release to AP 3 of 20,Office of General Counsel Release to AP,https://www.dhs.gov/sites/default/files/publications/dhs10-100-appeal-response-redacted-and-locked-down-img-part3.pdf,DHS
OGC,Office of General Counsel Release to AP 4 of 20,Office of General Counsel Release to AP,https://www.dhs.gov/sites/default/files/publications/dhs10-100-appeal-response-redacted-and-locked-down-img-part4.pdf,DHS
OGC,Office of General Counsel Release to AP 5 of 20,Office of General Counsel Release to AP,https://www.dhs.gov/sites/default/files/publications/dhs10-100-appeal-response-redacted-and-locked-down-img-part5.pdf,DHS
OGC,Office of General Counsel Release to AP 6 of 20,Office of General Counsel Release to AP,https://www.dhs.gov/sites/default/files/publications/dhs10-100-appeal-response-redacted-and-locked-down-img-part6.pdf,DHS
OGC,Office of General Counsel Release to AP 7 of 20,Office of General Counsel Release to AP,https://www.dhs.gov/sites/default/files/publications/dhs10-100-appeal-response-redacted-and-locked-down-img-part7.pdf,DHS
OGC,Office of General Counsel Release to AP 8 of 20,Office of General Counsel Release to AP,https://www.dhs.gov/sites/default/files/publications/dhs10-100-appeal-response-redacted-and-locked-down-img-part8.pdf,DHS
OGC,Office of General Counsel Release to AP 9 of 20,Office of General Counsel Release to AP,https://www.dhs.gov/sites/default/files/publications/dhs10-100-appeal-response-redacted-and-locked-down-img-part9.pdf,DHS
OGC,Office of General Counsel Release to AP 10 of 20,Office of General Counsel Release to AP,https://www.dhs.gov/sites/default/files/publications/dhs10-100-appeal-response-redacted-and-locked-down-img-part10.pdf,DHS
OGC,Office of General Counsel Release to AP 11 of 20,Office of General Counsel Release to AP,https://www.dhs.gov/sites/default/files/publications/dhs10-100-appeal-response-redacted-and-locked-down-img-part11.pdf,DHS
OGC,Office of General Counsel Release to AP 12 of 20,Office of General Counsel Release to AP,https://www.dhs.gov/sites/default/files/publications/dhs10-100-appeal-response-redacted-and-locked-down-img-part12.pdf,DHS
